year,anomaly,is_future
1950,0.007353073452073033,False
1951,0.19472288897216572,False
1952,0.2521954478942394,False
1953,0.08774332098187188,False
1954,0.018772809350991793,False
1955,-0.08896642373145625,False
1956,-0.1184860844254132,False
1957,-0.08747650037176413,False
1958,-0.10143733440840563,False
1959,-0.012796830706648166,False
1960,0.17539199857945853,False
1961,0.24596322784403668,False
1962,-0.011499796475218815,False
1963,-0.1917765962005653,False
1964,-0.24510350810031944,False
1965,-0.13447591530518466,False
1966,-0.02978407202500577,False
1967,0.046540090710518456,False
1968,0.07911379792085604,False
1969,-0.0082039816130699,False
1970,-0.10508577220209148,False
1971,-0.09753541074615057,False
1972,-0.06353816537904855,False
1973,0.08808033072809884,False
1974,0.0931318995323771,False
1975,-0.11661388573822151,False
1976,-0.2033243489137586,False
1977,-0.05958381498408549,False
1978,-0.024361976405366192,False
1979,0.11330009333041069,False
1980,0.29774143843471457,False
1981,0.23140979128362638,False
1982,0.16431797064031173,False
1983,0.05454174571627135,False
1984,0.3070251684013954,False
1985,0.3693943086313727,False
1986,0.3186234154834402,False
1987,0.2046201247840873,False
1988,0.17654308556306297,False
1989,0.3229842218086105,False
1990,0.4664411276600706,False
1991,0.4207949143130776,False
1992,0.1918211250517814,False
1993,0.32103472017377044,False
1994,0.2998066183056256,False
1995,0.18150618557488585,False
1996,0.47978696485547445,False
1997,0.6123565385583483,False
1998,0.5821705938245021,False
1999,0.567593965727859,False
2000,0.5326784295366185,False
2001,0.5552816835054877,False
2002,0.5906969004856641,False
2003,0.7351578837071315,False
2004,0.6803574889376254,False
2005,0.5646991169604423,False
2006,0.578709903540922,False
2007,0.6664762681446916,False
2008,0.8070535036525417,False
2009,0.670005586984793,False
2010,0.688238522077798,False
2011,0.7627025031878674,False
2012,0.7101071050119536,False
2013,0.6242580090559873,False
2014,0.6868242227501486,False
2015,0.7769462860526488,True
2016,0.9076342745122297,True
2017,0.8298393966554531,True
2018,0.7145189849563458,True
2019,0.6030541930901094,True
2020,0.7661727501485274,True
2021,1.0659471447041415,True
2022,0.9252791407897725,True
2023,0.9038512500554283,True
2024,1.1282289337935687,True
2025,0.9676724588623777,True
2026,0.9467700439222391,True
2027,0.9536722607543044,True
2028,1.1309144959658823,True
2029,1.1087258795682207,True
2030,1.1921679817825996,True
2031,1.3306459821339747,True
2032,1.0559319065494979,True
2033,1.1102522917548008,True
2034,1.1982314809146253,True
2035,1.1545874208433595,True
2036,1.0719522512007487,True
2037,1.1751979854676158,True
2038,1.1815620098824144,True
2039,1.2702072888840608,True
2040,1.4095002653997284,True
2041,1.5733249588412654,True
2042,1.503101558702177,True
2043,1.3427340529408287,True
2044,1.3535602247434007,True
2045,1.431683059838484,True
2046,1.3897803682007854,True
2047,1.4133834334189537,True
2048,1.7138618795225433,True
2049,1.7340527482391028,True
2050,1.7282008806803635,True
2051,1.6004017405898825,True
2052,1.7004110830230665,True
2053,1.6051797780961508,True
2054,1.7567576759381431,True
2055,1.7525081778385605,True
2056,1.557022528614624,True
2057,1.5293649539440057,True
2058,1.6953656116096543,True
2059,1.939938710271857,True
2060,1.8231807197116883,True
2061,1.6109090664971966,True
2062,1.6683144315099696,True
2063,1.8714973847906595,True
2064,1.8237584759128858,True
2065,1.7061677653711769,True
2066,1.9317965510510309,True
2067,1.9814992919398922,True
2068,2.0007604113147686,True
2069,1.7107758268372883,True
2070,1.7494970703686405,True
2071,1.8160965465622372,True
2072,1.967977214904467,True
2073,1.918303087638705,True
2074,1.9655420864820332,True
2075,2.022010794066439,True
2076,1.984802317531825,True
2077,1.8601908875107291,True
2078,2.041832649686981,True
2079,2.051294188686189,True
2080,1.955737896914787,True
2081,1.953055952291269,True
2082,2.0216979533558543,True
2083,2.140672968173849,True
2084,2.2717691142383796,True
2085,2.080134556287611,True
2086,2.0433809791587993,True
2087,2.090184878655819,True
2088,2.090641241844594,True
2089,2.045978139680857,True
2090,2.2322224546263225,True
2091,2.136196963123851,True
2092,2.1107000997052907,True
2093,2.2462262870487546,True
2094,2.1697599270393937,True
2095,2.1504802107938694,True
2096,2.3244314961959187,True
2097,2.361441269454806,True
2098,2.2522107074205326,True
2099,2.2235419322692582,True
2100,2.2274876255147777,True
